Energy [eVee]	eff	d_eff_hi	d_eff_low
5	0.00965234	0.000362148	0.000349398
15	0.0512704	0.000484374	0.000480104
25	0.122279	0.00157904	0.00156181
35	0.217496	0.0085796	0.00834742
45	0.456238	0.0224882	0.0223183
55	0.576	0.0266032	0.027029
65	0.564516	0.0295038	0.029943
75	0.604167	0.0301151	0.0308804
85	0.655172	0.0349164	0.036553
95	0.613333	0.0421298	0.0437606
105	0.669231	0.0435194	0.0463515
115	0.773585	0.0423192	0.0480449
125	0.702128	0.0498352	0.0545876
135	0.822222	0.0416268	0.0497148
145	0.838095	0.0369617	0.0442093
155	0.84375	0.0380723	0.0461843
165	0.771739	0.0456617	0.0522555
175	0.784314	0.0423363	0.0485422
185	0.873786	0.0333568	0.041638
195	0.824742	0.0398273	0.0473658
205	0.866071	0.0328675	0.0402677
215	0.910112	0.0305009	0.0413395
225	0.883929	0.0307685	0.0385893
235	0.891089	0.0314377	0.0403592
245	0.908163	0.0294007	0.0391191
255	0.913462	0.0277401	0.0370166
265	0.946237	0.0230279	0.0347334
275	0.865854	0.0384531	0.048737
285	0.868687	0.0346519	0.043151
295	0.900901	0.0286816	0.037002
305	0.904255	0.0306225	0.0406577
315	0.925532	0.0270554	0.0378062
325	0.925234	0.025457	0.034805
335	0.930693	0.0252073	0.0353349
345	0.93578	0.0233817	0.0328775
355	0.923077	0.0261786	0.0357474
365	0.903846	0.0291946	0.0381938
375	0.936842	0.0247682	0.0358188
385	0.917431	0.0264931	0.0354288
395	0.928571	0.0243387	0.0333396
405	0.900901	0.0286816	0.037002
415	0.934783	0.0255661	0.0369227
425	0.946237	0.0230279	0.0347334
435	0.934426	0.022373	0.0307492
445	0.941176	0.023087	0.0334824
455	0.963964	0.0171678	0.0275761
465	0.927083	0.0265003	0.0370657
475	0.958763	0.0196324	0.031405
485	0.929293	0.0257091	0.0360076
495	0.949153	0.0199859	0.0291361
505	0.941176	0.023087	0.0334824
515	0.932692	0.0244903	0.0343717
525	0.933333	0.0227403	0.0312347
535	0.967391	0.017695	0.0307035
545	0.925	0.0241083	0.0323719
555	0.96	0.0190465	0.0304977
565	0.981308	0.0120639	0.0241211
575	0.970874	0.0158102	0.027521
585	0.928571	0.0259675	0.0363535
595	0.960396	0.0188589	0.0302068
605	0.96875	0.0169598	0.0294646
615	0.940594	0.023313	0.0337974
625	0.963303	0.0174813	0.028065
635	0.931373	0.0249636	0.0350079
645	1	0	0.0200277
655	0.972727	0.0148066	0.0258178
665	0.989011	0.00909242	0.0248144
675	0.931373	0.0249636	0.0350079
685	0.978495	0.0138784	0.0276606
695	0.94898	0.0218627	0.0330405
705	0.963303	0.0174813	0.028065
715	0.968254	0.0151323	0.0243892
725	0.970874	0.0158102	0.027521
735	0.963964	0.0171678	0.0275761
745	0.983471	0.010669	0.0213844
755	0.948454	0.0220862	0.0333658
765	0.907407	0.0281391	0.036881
775	0.973333	0.0172056	0.0340912
785	0.969072	0.0167854	0.0291703
795	0.972222	0.0150801	0.0262826
805	0.983193	0.0108482	0.0217367
815	0.964286	0.0170152	0.027338
825	0.983333	0.0107579	0.0215591
835	0.989691	0.0085299	0.0233057
845	0.990826	0.00759067	0.020779
855	0.964602	0.0168653	0.0271039
865	0.971429	0.0155099	0.0270119
875	0.981308	0.0120639	0.0241211
885	0.971698	0.0153639	0.0267643
895	0.969388	0.0166146	0.0288818
905	0.962617	0.0178065	0.0285715
915	0.96875	0.0169598	0.0294646
925	0.973451	0.0144145	0.0251507
935	0.972727	0.0148066	0.0258178
945	0.95	0.0214289	0.0324086
955	0.990476	0.00787989	0.0215581
965	0.981308	0.0120639	0.0241211
975	0.976378	0.0128289	0.0224441
985	0.976744	0.015007	0.0298505
995	0.959184	0.0194331	0.0310967
