% Model:              basic_detector.mph
% Version:            COMSOL 5.2.0.220
% Date:               Feb 17 2020, 22:21
% Dimension:          3
% Nodes:              9774
% Expressions:        4
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        cm
% x                       y                        z                        V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0                         -10                      -5                       0                        0                        0                        0
1.3877787807814457E-17    -9.129215171501516       -4.382247605045885       0                        0                        0                        0
5.551115123125783E-17     -9.009501701649471       -5                       0                        0                        0                        0
0                         -10.000000000000002      -3.910175823044119       0                        0                        0                        0
0                         -9.319560059292625       -4.101655590372147       0                        0                        0                        0
2.2551405187698492E-17    -8.477036104917463       -4.490533787780499       0                        0                        0                        0
-3.2959746043559335E-17   -8.452136745670913       -4.498493103421651       0                        0                        0                        0
2.949029909160572E-17     -8.466619282450248       -4.4762613716014785      0                        0                        0                        0
-2.7755575615628914E-17   -8.586254182774582       -5                       0                        0                        0                        0
-6.938893903907228E-18    -8.528266534679764       -4.446430068788905       0                        0                        0                        0
0                         -8.133246890935276       -5.000000000000001       0                        0                        0                        0
2.7755575615628914E-17    -7.931145337523638       -4.689701963931192       0                        0                        0                        0
2.7755575615628914E-17    -7.733638110263036       -5.000000000000001       0                        0                        0                        0
5.551115123125783E-17     -7.209134507236845       -5                       0                        0                        0                        0
2.7755575615628914E-17    -7.440904129618673       -4.702436683048966       0                        0                        0                        0
0                         -9.201165151676525       -3.7883133343361983      0                        0                        0                        0
0                         -9.249266635780659       -3.182265400580435       0                        0                        0                        0
0                         -10.000000000000002      -2.7934613795396492      0                        0                        0                        0
0                         -9.535757607051586       -2.4199402585946714      0                        0                        0                        0
2.7755575615628914E-17    -9.402983342193998       -2.628516652027902       0                        0                        0                        0
0                         -10                      -1.6760768277236981      0                        0                        0                        0
2.7755575615628914E-17    -9.388259866298828       -2.3054659299985683      0                        0                        0                        0
0                         -7.723511486351013       -4.229620302645159       0                        0                        0                        0
-1.3877787807814457E-17   -6.481649244901606       -5.000000000000001       0                        0                        0                        0
-2.0816681711721685E-17   -6.431858024405126       -5.000000000000001       0                        0                        0                        0
1.3877787807814457E-17    -6.4298370945854         -4.959381388274263       0                        0                        0                        0
-3.469446951953614E-17    -6.39645825864858        -5.000000000000001       0                        0                        0                        0
0                         -6.181379003550836       -4.690604577752149       0                        0                        0                        0
