Energy [eVee]	eff	d_eff_hi	d_eff_low
5	0.00642379	0.000303454	0.000290136
15	0.0941676	0.000507347	0.000504917
25	0.217682	0.00111561	0.00111152
35	0.158601	0.00276029	0.00272223
45	0.0723297	0.00570989	0.00533605
55	0.129973	0.019692	0.0175821
65	0.406593	0.057776	0.0555203
75	0.673913	0.0747472	0.0833702
85	0.875	0.0672375	0.106829
95	0.888889	0.0598486	0.0963981
105	0.833333	0.0700296	0.0970336
115	0.842105	0.0607858	0.0823864
125	0.972222	0.0229906	0.0609957
135	1	0	0.0879414
145	1	0	0.0542609
155	1	0	0.0376284
165	0.979167	0.0172408	0.0462802
175	0.971429	0.0236478	0.0626552
185	0.974359	0.0212212	0.0565052
195	1	0	0.0376284
205	0.971429	0.0236478	0.0626552
215	0.975	0.0206905	0.0551516
225	0.952381	0.0394264	0.101134
235	0.965517	0.0285434	0.0748731
245	1	0	0.0615104
255	0.96	0.0331137	0.0860512
265	1	0	0.0595223
275	0.96875	0.025866	0.0682225
285	1	0	0.0559083
295	0.97561	0.0201856	0.0538612
305	1	0	0.042887
315	1	0	0.0512411
325	1	0	0.0485397
335	1	0	0.0595223
345	1	0	0.0498539
355	0.931034	0.0444185	0.0838105
365	1	0	0.0512411
375	1	0	0.0542609
385	0.969697	0.0250817	0.0662602
395	0.96875	0.025866	0.0682225
405	1	0	0.0472931
415	1	0	0.0542609
425	1	0	0.0485397
435	0.974359	0.0212212	0.0565052
445	1	0	0.0461088
455	1	0	0.0527078
465	1	0	0.0512411
475	0.972222	0.0229906	0.0609957
485	1	0	0.0439098
495	1	0	0.0542609
505	1	0	0.0498539
515	1	0	0.0527078
525	0.970588	0.0243437	0.0644074
535	1	0	0.0485397
545	0.964286	0.0295635	0.077387
555	1	0	0.0615104
565	1	0	0.0576587
575	1	0	0.0449824
585	1	0	0.0485397
595	1	0	0.0409781
605	1	0	0.0595223
615	1	0	0.0461088
625	1	0	0.0461088
635	1	0	0.0485397
645	1	0	0.0485397
655	1	0	0.0419109
665	1	0	0.042887
675	1	0	0.0512411
685	0.97619	0.0197048	0.0526298
695	1	0	0.0659133
705	1	0	0.0472931
715	1	0	0.0472931
725	1	0	0.0636358
735	0.970588	0.0243437	0.0644074
745	1	0	0.0559083
755	1	0	0.0576587
765	1	0	0.0576587
775	1	0	0.0461088
785	0.974359	0.0212212	0.0565052
795	1	0	0.0527078
805	1	0	0.0461088
815	1	0	0.0659133
825	1	0	0.0485397
835	0.96875	0.025866	0.0682225
845	1	0	0.0485397
855	1	0	0.0527078
865	1	0	0.0485397
875	1	0	0.0449824
885	1	0	0.042887
895	1	0	0.0512411
905	0.965517	0.0285434	0.0748731
915	0.965517	0.0285434	0.0748731
925	1	0	0.0439098
935	1	0	0.0392319
945	0.972973	0.0223689	0.0594217
955	1	0	0.0595223
965	1	0	0.0615104
975	1	0	0.0709947
985	1	0	0.0636358
995	0.969697	0.0250817	0.0662602
